n,m,range,seed,mean,variance,period,chi,kp,km
0,7,7,25967,18926.375,114529833.9844,3,792,0.8749,0.125
0,7,7,6161,9595.625,12771677.4844,3,792,0.8749,0.125
0,7,7,26610,19977.75,32562953.4375,3,792,0.8749,0.125
0,7,7,25022,16939.25,130667553.9375,3,792,0.8749,0.125
0,7,7,31482,23037.25,56308686.9375,3,792,0.8749,0.125
0,7,7,16449,12302.5,50262541.5,3,792,0.8749,0.125
0,7,7,31637,21320.625,109883349.2344,3,792,0.8749,0.125
0,7,7,7582,5441.5,3844164.75,3,792,0.8749,0.125
0,7,7,20627,21360.875,23375984.8594,3,792,0.8749,0.125
0,7,7,18397,19266.25,43737082.6875,3,792,0.8749,0.125
0,7,7,10900,9912.5,5596353.75,3,792,0.8749,0.125
0,7,7,15655,21348,21142614.75,3,792,0.8749,0.125
0,7,7,20463,22949.875,59150822.1094,3,792,0.8749,0.125
0,7,7,5553,10478.875,16332554.8594,3,792,0.8749,0.125
0,7,7,16235,10832.75,21983961.1875,3,792,0.8749,0.125
0,7,7,10836,6954.875,26624716.3594,3,792,0.8749,0.125
0,7,7,26673,23190.5,83518237.5,3,792,0.8749,0.125
0,7,7,22027,20386,61381956.75,3,792,0.8749,0.125
0,7,7,12268,7940.625,20616174.2344,3,792,0.8749,0.125
0,7,7,14768,21685.875,44988155.1094,3,792,0.8749,0.125
0,7,7,14712,9863.375,30605220.2344,3,792,0.8749,0.125
0,7,7,17771,14203.125,44099731.3594,3,792,0.8749,0.125
0,7,7,20820,15046.5,81667407.75,3,792,0.8749,0.125
0,7,7,8588,11300.125,15414687.6094,3,792,0.8749,0.125
0,7,7,31692,21407.375,70006029.2344,3,792,0.8749,0.125
0,7,7,24032,17621.25,70953822.9375,3,792,0.8749,0.125
0,7,7,2328,12391.375,61257588.2344,3,792,0.8749,0.125
0,7,7,11751,17754.25,34080421.6875,3,792,0.8749,0.125
0,7,7,25000,17308.875,125441363.8594,3,792,0.8749,0.125
0,7,7,14288,21212.25,29713664.4375,3,792,0.8749,0.125
0,7,7,28269,18289.125,125236360.3594,3,792,0.8749,0.125
0,7,7,14933,20271.375,23915110.7344,3,792,0.8749,0.125
0,7,7,29641,23073.25,48800352.1875,3,792,0.8749,0.125
0,7,7,20192,22442.375,31836822.9844,3,792,0.8749,0.125
0,7,7,17025,12845,53961033.75,3,792,0.8749,0.125
0,7,7,10551,21036.5,80856631.5,3,792,0.8749,0.125
0,7,7,32559,21061.125,160412027.8594,3,792,0.8749,0.125
0,7,7,2233,19791,185665329.75,3,792,0.8749,0.125
0,7,7,12704,20688,40570368,3,792,0.8749,0.125
0,7,7,30748,21648.125,50316240.6094,3,792,0.8749,0.125
0,7,7,19229,17487.375,33886000.7344,3,792,0.8749,0.125
0,7,7,9468,11248.625,14764515.2344,3,792,0.8749,0.125
0,7,7,229,164,6138.75,3,792,0.8749,0.125
0,7,7,19856,19641.375,27187228.7344,3,792,0.8749,0.125
0,7,7,11154,19934.5,60030516.75,3,792,0.8749,0.125
0,7,7,3321,2630.875,1620506.8594,3,792,0.8749,0.125
0,7,7,20271,22510.875,28489087.3594,3,792,0.8749,0.125
0,7,7,28263,17884.25,158268604.6875,3,792,0.8749,0.125
0,7,7,7556,5289.375,3378235.7344,3,792,0.8749,0.125
0,7,7,32258,23999.5,143212842.75,3,792,0.8749,0.125
0,7,7,10485,10500.625,5925330.2344,3,792,0.8749,0.125
0,7,7,30008,22288.75,40048677.9375,3,792,0.8749,0.125
0,7,7,26644,18797.75,52728323.4375,3,792,0.8749,0.125
0,7,7,19065,15603.75,35816284.6875,3,792,0.8749,0.125
0,7,7,10920,10699.375,14671365.2344,3,792,0.8749,0.125
0,7,7,16275,11050,17902008.75,3,792,0.8749,0.125
0,7,7,19220,19248.375,31992005.4844,3,792,0.8749,0.125
0,7,7,32499,22955.125,68802685.3594,3,792,0.8749,0.125
0,7,7,1402,9087.625,35504673.9844,3,792,0.8749,0.125
0,7,7,30369,22424.375,111204687.9844,3,792,0.8749,0.125
0,7,7,23217,17725.375,65829255.2344,3,792,0.8749,0.125
0,7,7,28203,17833.125,158743679.8594,3,792,0.8749,0.125
