n,m,range,seed,seed2,seed3,mean,variance,period,chi,kp,km
4564,65654,61090,11370,3932,3949,2153217898.4867,1541424810113806920.2566,61091,10.837,0.0009,0.0035
20850,74689,53839,6343,17098,25162,2153622762.0399,1523102234232543431.6966,53840,14.3256,0.0027,0.0053
28604,123297,94693,16944,4995,839,2147314338.77,1536551369957589458.6194,94694,7.7742,0.0015,0.0016
20118,28893,8775,26313,14025,20645,2141442971.8502,1543427424192991848.495,8776,4.5356,0.0071,0.004
7228,93960,86732,22434,3047,22453,2151503220.2429,1533260868786166699.9738,86733,6.2864,0.0012,0.0024
28610,66007,37397,15925,26453,26669,2139468112.2533,1536788314159079959.5346,37398,5.0994,0.0039,0.0005
11116,68535,57419,3665,13673,13304,2138583185.9959,1534270703318766502.0501,57420,6.1733,0.0054,0.0001
12059,96020,83961,19866,32376,19049,2147180376.2486,1534018317893547446.3666,83962,3.946,0.0017,0.0014
23605,83775,60170,26811,28306,22136,2149177282.5243,1535215955383544463.2972,60171,6.3986,0.0015,0.0017
15677,39558,23881,9511,28282,19773,2146213580.9181,1535471804590359985.8366,23882,10.736,0.0044,0.0037
3208,47213,44005,28141,10743,26331,2149830816.4211,1537484821212834286.152,44006,4.3001,0.0008,0.0021
21227,60880,39653,25346,29374,16188,2157487679.3438,1529011725366466093.5671,39654,10.6237,0.0011,0.0075
17343,80869,63526,24133,24235,19742,2145041725.9379,1541905856148361504.6611,63527,8.253,0.0032,0.0023
7262,103576,96314,14147,27521,1090,2148766778.0629,1534120168274794850.1029,96315,6.7889,0.0009,0.0021
26473,122147,95674,23185,744,167,2142552150.3276,1541915706793874858.0526,95675,7.7912,0.0028,0.0012
10910,106509,95599,5925,12510,26455,2143268424.7977,1538584465788335523.3741,95600,8.6549,0.0029,0.0008
10753,19915,9162,26104,21365,28816,2150347958.642,1547032882449467026.5003,9163,8.3881,0.006,0.0068
11212,27794,16582,15310,32335,14710,2144456648.2765,1548907949702812340.8454,16583,9.0742,0.0062,0.005
18583,44053,25470,27547,10950,20354,2148721907.4318,1542416224121872766.3035,25471,5.9151,0.0027,0.0024
5721,69487,63766,20600,8561,12298,2148622026.782,1537467215540315756.8677,63767,4.3374,0.0011,0.0016
8875,50231,41356,18801,21383,7581,2158429071.2807,1542107290130088865.2283,41357,14.1993,0.0004,0.0067
21621,86296,64675,5874,10823,15439,2144440609.6611,1548521354310796291.4799,64676,15.6627,0.0043,0.0017
8148,89058,80910,26767,15447,19532,2146516244.0041,1541827871604313796.956,80911,4.9876,0.002,0.0017
26936,40185,13249,12537,31042,31633,2167492759.5506,1510969129990656011.8093,13250,13.8964,0.004,0.0119
16001,96028,80027,14151,25392,3071,2140050088.6501,1534786810021312165.222,80028,11.5984,0.0044,0.0004
14607,93395,78788,21607,1911,18649,2140477196.1719,1532547878135852879.5545,78789,8.941,0.004,0.0005
28806,92362,63556,2875,709,31208,2159289746.2408,1537717939024783719.4723,63557,12.522,0.0001,0.0054
9808,94085,84277,29411,22250,21655,2146949334.2506,1542785283837115580.015,84278,14.2578,0.0027,0.0014
15209,30911,15702,6276,10363,25788,2138156417.1882,1528934243119978103.0891,15703,4.5395,0.0063,0.0024
5560,14640,9080,8181,21427,24262,2131797911.4842,1541738182489745921.408,9081,8.7719,0.0099,0.0036
23090,95759,72669,13100,26021,28866,2148808430.9918,1535006874960794595.5088,72670,14.0809,0.0021,0.0021
4268,95581,91313,25152,13551,3272,2157774964.2526,1535272724899424827.0546,91314,8.7694,0.0003,0.0046
30591,33503,2912,27315,17062,27356,2153652912.9935,1516846182720959131.5691,2913,12.6628,0.012,0.0151
26680,104427,77747,2887,6361,10049,2145780359.1325,1541661687433943483.0868,77748,15.2192,0.0029,0.0015
28194,54806,26612,17768,2509,20018,2136795958.3751,1546497593259722544.4735,26613,10.6897,0.0058,0.0012
21597,26325,4728,29337,15889,10317,2146657108.6568,1545514543932522411.7649,4729,11.6446,0.0063,0.0063
31839,78979,47140,2405,7669,3510,2148061984.9646,1522655973553665564.6399,47141,11.9833,0.0039,0.0035
28850,120194,91344,28769,18399,9638,2142404668.5729,1536400500614159399.5404,91345,17.5783,0.0028,0.0001
25202,90847,65645,31795,21934,22591,2137448215.5995,1539155695148107893.6601,65646,10.2383,0.0047,0.0001
20356,76041,55685,13719,8850,18025,2152554837.3416,1533931731653543549.2961,55686,10.3751,0.0014,0.0031
25435,113324,87889,17996,32208,193,2148662776.4221,1527181274128015711.3399,87890,13.0086,0.0024,0.003
19770,30532,10762,21443,25103,31818,2142297194.3005,1524696347826883742.1556,10763,15.1921,0.0087,0.0081
14939,93065,78126,32538,16491,29272,2149656528.4692,1548125402958740605.3911,78127,10.8685,0.002,0.004
10745,55794,45049,24300,3584,27833,2137893551.9571,1543690395699192984.7987,45050,12.5774,0.0061,0.000
13369,87306,73937,10199,28919,8814,2159207981.8889,1532620115307994032.7077,73938,11.7682,0.0005,0.0051
2301,63241,60940,22059,27482,2400,2141501850.3696,1534828613514547069.6807,60941,13.0075,0.0038,0.0004
16028,32197,16169,12610,14687,11528,2145038143.9108,1547187455398686008.6843,16170,6.8862,0.0043,0.0037
7844,85900,78056,20137,32737,15192,2157284336.3759,1536763505706157325.5123,78057,9.2143,0.0003,0.0049
24843,75747,50904,19294,15453,19404,2148587581.8635,1535652936192310129.2095,50905,11.9792,0.0026,0.0032
3870,64247,60377,6948,12806,30120,2158331941.8761,1537048474800403718.7463,60378,16.9385,0.0011,0.0063
14550,93764,79214,1699,25094,11265,2153427786.9087,1544376442343691375.2307,79215,5.9601,0.0012,0.0036
19012,37425,18413,30301,1110,23689,2173958360.94,1546213577559891253.7486,18414,19.2012,0.0005,0.0118
25376,72881,47505,8876,27841,11783,2147085796.8748,1537654899968988706.2536,47506,14.5636,0.0027,0.0023
10451,26994,16543,2522,7353,21024,2161171459.1934,1543281823362675316.5514,16544,6.9774,0.0013,0.0088
26014,63232,37218,7535,497,12976,2145844269.4144,1531104365963744335.801,37219,9.3117,0.0023,0.0028
1452,45558,44106,8164,29854,20126,2147115713.1919,1531614041845805509.5451,44107,3.8716,0.0027,0.0019
15991,61713,45722,13767,14669,4455,2138698302.6455,1546014009716949469.9611,45723,8.6586,0.0053,0.0016
16233,89305,73072,20796,1311,26097,2145382242.6442,1535093396235857415.3009,73073,7.3557,0.0032,0.0014
32630,44563,11933,25084,15421,8554,2130966717.2346,1542983828110243370.9927,11934,8.3513,0.0105,0.0004
23422,76149,52727,30891,28668,21216,2155840688.1358,1537519820987811324.9491,52728,7.3016,0.0006,0.0046
15405,55747,40342,30967,21612,14430,2144954158.7826,1525977889470368624.5593,40343,6.6022,0.0046,0.0024
22066,90558,68492,13964,24877,4048,2138339755.2345,1543374824334834685.3442,68493,15.5921,0.0056,0.0007
26485,43702,17217,29255,17056,22665,2141956341.8842,1532348651249372306.5167,17218,4.1428,0.0072,0.0023
21628,59046,37418,30259,26128,19364,2152241469.2859,1539576116505449983.5027,37419,4.1672,0.0007,0.0033
7330,74974,67644,28175,28178,745,2145014044.2738,1540033873702209496.271,67645,10.3425,0.002,0.0018
25420,114425,89005,28146,20870,21635,2139728635.0316,1537552513470147992.4186,89006,14.2141,0.0035,0.0007
13015,94329,81314,7839,9175,15096,2155508185.196,1536394578388999987.4536,81315,7.8322,0.0002,0.0038
